#_x,First_pokemon,Second_pokemon,Winner,Winner_mark,Type 1_first,Type 2_first,HP_first,Attack_first,Defense_first,Sp. Atk_first,Sp. Def_first,Speed_first,Generation_first,Legendary_first,#_y,Type 1_second,Type 2_second,HP_second,Attack_second,Defense_second,Sp. Atk_second,Sp. Def_second,Speed_second,Generation_second,Legendary_second
592,592,503,503,2,12,4,103,60,126,80,126,50,5,0,503,13,1,70,90,110,60,75,95,4,0
564,564,242,242,2,12,12,45,55,39,35,39,42,5,0,242,17,12,35,65,35,65,35,65,2,0
579,579,242,242,2,12,7,50,55,50,36,30,43,5,0,242,17,12,35,65,35,65,35,65,2,0
200,200,719,200,1,17,4,100,50,80,60,80,50,2,0,719,9,12,56,61,65,48,45,38,6,0
376,376,135,376,1,10,15,40,40,55,40,70,55,3,0,135,3,12,65,83,57,95,85,105,1,0
76,76,441,441,2,9,14,50,75,35,70,30,40,1,0,441,17,17,84,86,88,111,101,60,4,0
667,667,645,645,2,14,12,55,55,55,85,55,30,5,0,645,11,12,51,65,65,80,75,59,5,0
475,475,400,475,1,12,12,55,66,44,44,56,85,4,0,400,11,18,90,60,70,75,70,45,3,0
3,3,737,737,2,9,14,80,82,83,100,100,80,1,0,737,6,13,86,68,72,109,66,106,6,0
435,435,45,435,1,9,10,95,109,105,75,85,56,4,0,45,12,4,115,45,20,45,25,20,1,0
231,231,146,146,2,0,16,20,10,230,10,230,5,2,0,146,17,12,130,65,60,110,95,65,1,0
510,510,715,715,2,9,11,60,62,50,62,60,40,4,0,715,17,5,91,72,90,129,90,108,5,0
456,456,260,260,2,15,17,30,42,118,42,88,30,4,0,260,6,12,45,75,37,70,55,83,2,0
164,164,751,751,2,14,5,106,190,100,154,100,130,1,1,751,16,8,60,150,50,150,50,60,6,0
424,424,754,424,1,10,12,100,150,140,100,90,90,3,1,754,4,12,101,72,72,99,89,29,6,0
258,258,779,258,1,11,15,45,30,15,85,65,65,2,0,779,8,9,43,70,48,50,60,38,6,0
360,360,208,208,2,10,12,45,100,45,45,45,10,3,0,208,9,12,75,75,55,105,85,30,2,0
723,723,646,646,2,6,12,59,59,58,90,70,73,6,0,646,11,12,71,95,85,110,95,79,5,0
384,384,533,533,2,12,12,70,70,70,70,70,70,3,0,533,3,6,50,65,107,105,107,86,4,0
734,734,673,673,2,0,12,45,22,60,27,30,29,6,0,673,2,12,66,117,70,40,50,67,5,0
141,141,721,141,1,17,7,95,125,79,60,100,81,1,0,721,9,5,88,107,122,74,75,64,6,0
244,244,741,244,1,11,7,45,55,45,65,45,75,2,0,741,9,12,66,65,48,62,57,52,6,0
509,509,217,509,1,17,7,45,20,50,60,120,50,4,0,217,14,12,48,72,48,72,48,48,2,0
633,633,44,633,1,1,12,60,105,60,120,60,105,5,0,44,6,12,73,76,75,81,100,100,1,0
595,595,719,595,1,5,12,105,140,95,55,65,45,5,0,719,9,12,56,61,65,48,45,38,6,0
606,606,40,606,1,0,14,60,100,89,55,69,112,5,0,40,13,10,81,102,77,85,75,85,1,0
368,368,598,368,1,12,12,73,115,60,60,60,90,3,0,598,17,10,105,95,75,85,75,74,5,0
746,746,584,746,1,14,12,62,48,54,63,60,68,6,0,584,15,12,55,75,85,25,25,15,5,0
350,350,187,350,1,17,1,70,140,70,110,65,105,3,0,187,3,12,20,40,15,35,35,60,2,0
303,303,198,303,1,17,7,60,50,100,85,70,65,3,0,198,9,12,75,80,95,90,100,50,2,0
169,169,701,701,2,9,12,80,82,100,83,100,80,2,0,701,15,5,91,129,90,72,90,108,5,1
569,569,115,115,2,1,12,41,50,37,50,37,66,5,0,115,5,12,50,120,53,35,110,87,1,0
231,231,172,172,2,0,16,20,10,230,10,230,5,2,0,172,6,12,78,84,78,109,85,100,2,0
71,71,440,71,1,14,12,55,50,45,135,95,120,1,0,440,17,12,64,66,68,81,76,50,4,0
659,659,610,610,2,9,17,44,50,91,24,86,10,5,0,610,9,12,70,60,75,110,75,90,5,0
570,570,557,557,2,1,12,64,88,50,88,50,106,5,0,557,9,12,75,75,95,75,95,113,5,0
712,712,40,712,1,2,11,125,170,100,120,90,95,5,1,40,13,10,81,102,77,85,75,85,1,0
451,451,352,451,1,3,12,80,120,79,95,79,70,4,0,352,17,12,170,90,45,90,45,60,3,0
661,661,95,95,2,16,12,40,55,70,45,60,30,5,0,95,17,11,90,70,80,70,95,70,1,0
540,540,4,540,1,14,12,75,125,70,125,70,115,4,1,4,9,14,80,100,123,122,120,80,1,0
130,130,319,130,1,17,12,30,45,55,70,55,85,1,0,319,12,12,84,71,43,71,43,48,3,0
125,125,418,418,2,12,12,105,125,100,60,100,100,1,0,418,2,15,80,80,90,110,130,110,3,1
309,309,276,276,2,0,7,70,60,62,80,82,60,3,0,276,9,2,70,110,75,145,85,145,3,0
579,579,612,612,2,12,7,50,55,50,36,30,43,5,0,612,10,1,50,72,35,35,35,65,5,0
716,716,80,80,2,12,15,100,77,77,128,128,90,5,0,80,17,14,80,70,65,80,120,100,1,0
482,482,535,535,2,14,12,45,30,50,65,50,45,4,0,535,3,11,50,65,107,105,107,86,4,0
376,376,37,37,2,10,15,40,40,55,40,70,55,3,0,37,13,10,90,92,87,75,85,76,1,0
6,6,328,328,2,6,12,58,64,58,80,65,80,1,0,328,1,8,50,85,125,85,115,20,3,0
343,343,159,159,2,0,12,65,73,55,47,75,85,3,0,159,6,7,90,100,90,125,85,90,1,1
509,509,574,574,2,17,7,45,20,50,60,120,50,4,0,574,6,12,75,98,63,98,63,101,5,0
546,546,530,546,1,8,2,150,120,100,120,100,90,4,1,530,8,12,45,100,135,65,135,45,4,0
486,486,229,229,2,16,15,67,89,116,79,116,33,4,0,229,0,17,70,130,100,55,80,65,2,0
686,686,213,213,2,1,17,45,85,70,40,40,60,5,0,213,1,12,95,65,110,60,130,65,2,0
304,304,386,386,2,14,4,28,25,25,45,35,40,3,0,386,8,12,44,75,35,63,33,45,3,0
514,514,732,732,2,3,17,70,70,115,130,90,60,4,0,732,6,7,78,81,71,74,69,126,6,0
161,161,757,161,1,2,12,61,84,65,70,70,70,1,0,757,1,15,53,54,53,37,46,45,6,0
150,150,265,265,2,15,18,35,40,100,90,55,35,1,0,265,17,12,100,75,115,90,115,85,2,1
436,436,701,701,2,6,12,44,58,44,58,44,61,4,0,701,15,5,91,129,90,72,90,108,5,1
221,221,265,265,2,0,17,75,90,140,60,60,40,2,0,265,17,12,100,75,115,90,115,85,2,1
436,436,603,603,2,6,12,44,58,44,58,44,61,4,0,603,0,9,75,103,80,70,80,92,5,0
242,242,365,242,1,17,12,35,65,35,65,35,65,2,0,365,12,7,45,40,60,40,75,50,3,0
792,792,251,792,1,7,2,85,70,80,97,80,123,6,0,251,10,12,90,60,60,40,40,40,2,0
607,607,295,607,1,9,4,40,27,60,37,50,66,5,0,295,17,9,60,50,50,60,70,50,3,0
439,439,209,209,2,17,12,53,51,53,61,56,40,4,0,209,0,7,65,65,45,75,45,95,2,0
657,657,360,657,1,0,3,50,47,50,57,50,65,5,0,360,10,12,45,100,45,45,45,10,3,0
436,436,40,40,2,6,12,44,58,44,58,44,61,4,0,40,13,10,81,102,77,85,75,85,1,0
325,325,408,408,2,12,12,50,45,45,35,35,50,3,0,408,2,12,65,95,100,60,50,50,3,0
472,472,89,472,1,12,12,75,100,66,60,66,115,4,0,89,3,17,25,35,70,95,55,45,1,0
71,71,777,71,1,14,12,55,50,45,135,95,120,1,0,777,2,12,90,100,70,110,150,80,6,0
47,47,615,47,1,13,7,40,45,35,30,40,55,1,0,615,6,12,70,90,45,15,45,50,5,0
5,5,670,5,1,6,12,39,52,43,60,50,65,1,0,670,8,6,60,40,60,95,60,55,5,0
793,793,314,314,2,4,12,126,131,95,131,98,99,6,1,314,12,12,150,160,100,95,65,100,3,0
195,195,461,195,1,3,12,70,55,55,80,60,45,2,0,461,0,17,60,69,95,69,95,36,4,0
493,493,568,493,1,2,10,68,90,65,50,55,82,4,0,568,12,12,85,110,90,45,90,80,5,0
400,400,341,341,2,11,18,90,60,70,75,70,45,3,0,341,3,12,60,50,40,85,75,95,3,0
63,63,297,63,1,5,12,65,105,60,60,70,95,1,0,297,9,12,40,40,50,30,30,30,3,0
541,541,446,541,1,16,2,100,120,120,150,100,90,4,1,446,12,18,79,85,60,55,60,71,4,0
141,141,152,141,1,17,7,95,125,79,60,100,81,1,0,152,15,18,30,80,90,55,45,55,1,0
54,54,115,115,2,0,14,60,55,50,40,55,45,1,0,115,5,12,50,120,53,35,110,87,1,0
378,378,161,161,2,15,9,66,41,77,61,87,23,3,0,161,2,12,61,84,65,70,70,70,1,0
224,224,316,316,2,16,10,75,85,200,55,65,30,2,0,316,0,7,61,90,45,50,50,160,3,0
311,311,398,398,2,9,5,60,130,80,60,60,70,3,0,398,11,12,80,120,80,120,80,100,3,0
298,298,35,298,1,9,1,70,70,40,60,40,60,3,0,35,13,12,55,47,52,40,40,41,1,0
356,356,132,356,1,6,12,70,85,140,85,70,20,3,0,132,14,4,40,45,65,100,120,90,1,0
103,103,370,103,1,8,14,60,65,80,170,95,130,1,0,370,15,15,70,55,65,95,85,70,3,0
503,503,453,503,1,13,1,70,90,110,60,75,95,4,0,453,9,14,60,70,65,125,105,90,4,0
600,600,598,600,1,5,12,75,125,75,30,75,85,5,0,598,17,10,105,95,75,85,75,74,5,0
445,445,45,445,1,12,12,59,45,40,35,40,31,4,0,45,12,4,115,45,20,45,25,20,1,0
360,360,548,548,2,10,12,45,100,45,45,45,10,3,0,548,17,12,80,80,80,80,80,80,4,0
303,303,133,133,2,17,7,60,50,100,85,70,65,3,0,133,0,7,70,110,80,55,80,105,1,0
51,51,331,51,1,9,14,75,80,85,110,90,50,1,0,331,16,16,50,70,100,40,40,30,3,0
171,171,559,171,1,6,12,58,64,58,80,65,80,2,0,559,6,5,90,93,55,70,55,55,5,0
758,758,129,758,1,1,15,86,92,88,68,75,73,6,0,129,17,12,80,92,65,65,80,68,1,0
6,6,255,6,1,6,12,58,64,58,80,65,80,1,0,255,12,12,55,20,35,20,45,75,2,0
698,698,154,154,2,0,6,55,85,55,50,55,60,5,0,154,15,7,80,105,65,60,75,130,1,0
92,92,491,491,2,12,7,35,85,45,35,35,75,1,0,491,8,1,50,92,108,92,108,35,4,0
381,381,73,381,1,15,0,75,125,100,70,80,45,3,0,73,5,12,70,80,50,35,35,35,1,0
354,354,271,271,2,6,10,70,100,70,105,75,40,3,0,271,6,7,106,130,90,110,154,90,2,1
219,219,49,219,1,12,15,70,80,65,90,65,85,2,0,49,9,14,45,50,55,75,65,30,1,0
736,736,244,244,2,6,13,62,50,58,73,54,72,6,0,244,11,7,45,55,45,65,45,75,2,0
683,683,245,245,2,2,12,77,120,90,60,90,48,5,0,245,17,7,65,40,70,80,140,70,2,0
533,533,452,533,1,3,6,50,65,107,105,107,86,4,0,452,9,14,40,30,35,50,70,55,4,0
200,200,588,588,2,17,4,100,50,80,60,80,50,2,0,588,14,7,67,57,55,77,55,114,5,0
403,403,636,403,1,17,12,55,104,105,94,75,52,3,0,636,14,12,45,30,50,55,65,45,5,0
56,56,561,561,2,10,12,10,55,25,35,45,95,1,0,561,17,12,55,55,45,63,45,45,5,0
54,54,119,119,2,0,14,60,55,50,40,55,45,1,0,119,13,12,65,90,120,85,70,60,1,0
629,629,141,629,1,15,7,75,140,65,112,65,110,5,0,141,17,7,95,125,79,60,100,81,1,0
547,547,779,547,1,14,12,120,70,120,75,130,85,4,0,779,8,9,43,70,48,50,60,38,6,0
380,380,547,547,2,15,0,45,95,50,40,50,75,3,0,547,14,12,120,70,120,75,130,85,4,0
407,407,307,307,2,2,12,45,75,60,40,30,50,3,0,307,14,4,68,85,65,165,135,100,3,0
153,153,559,153,1,15,18,60,115,105,65,70,80,1,0,559,6,5,90,93,55,70,55,55,5,0
306,306,268,306,1,14,4,68,65,65,125,115,80,3,0,268,15,1,100,134,110,95,100,61,2,0
89,89,382,89,1,3,17,25,35,70,95,55,45,1,0,382,17,12,20,15,20,10,55,80,3,0
54,54,32,32,2,0,14,60,55,50,40,55,45,1,0,32,3,12,60,90,55,90,80,110,1,0
172,172,745,745,2,6,12,78,84,78,109,85,100,2,0,745,12,12,75,80,60,65,90,102,6,0
16,16,110,110,2,0,7,60,45,50,90,80,70,1,0,110,3,12,60,50,70,80,80,140,1,0
537,537,734,537,1,3,9,50,65,107,105,107,86,4,0,734,0,12,45,22,60,27,30,29,6,0
278,278,94,278,1,6,5,60,85,60,85,60,55,3,0,94,17,12,65,45,55,45,70,45,1,0
342,342,643,643,2,3,12,60,40,50,75,85,95,3,0,643,17,7,75,87,63,87,63,98,5,0
435,435,165,165,2,9,10,95,109,105,75,85,56,4,0,165,14,12,106,150,70,194,120,140,1,1
638,638,691,691,2,14,12,70,55,95,95,110,65,5,0,691,1,7,70,55,75,45,65,60,5,0
734,734,718,718,2,0,12,45,22,60,27,30,29,6,0,718,0,17,71,120,95,120,95,99,5,0
298,298,781,298,1,9,1,70,70,40,60,40,60,3,0,781,8,9,49,66,70,44,55,51,6,0
42,42,113,42,1,4,12,95,70,73,95,90,60,1,0,113,10,12,50,50,95,40,50,35,1,0
97,97,316,97,1,13,12,105,105,75,65,100,50,1,0,316,0,7,61,90,45,50,50,160,3,0
416,416,397,397,2,11,12,80,50,100,100,200,50,3,1,397,11,12,80,80,80,80,80,80,3,0
483,483,400,483,1,13,1,63,63,47,41,41,74,4,0,400,11,18,90,60,70,75,70,45,3,0
275,275,155,155,2,9,12,70,85,65,105,85,120,3,0,155,15,7,80,135,85,70,95,150,1,0
154,154,461,154,1,15,7,80,105,65,60,75,130,1,0,461,0,17,60,69,95,69,95,36,4,0
309,309,4,4,2,0,7,70,60,62,80,82,60,3,0,4,9,14,80,100,123,122,120,80,1,0
539,539,30,30,2,14,12,80,105,105,105,105,80,4,1,30,13,12,60,85,69,65,79,80,1,0
545,545,266,545,1,8,2,150,100,120,100,120,90,4,1,266,15,10,50,64,50,45,50,41,2,0
283,283,340,340,2,17,10,100,110,90,85,90,60,3,0,340,3,12,70,75,80,135,80,135,3,0
232,232,254,254,2,0,5,80,125,75,40,95,85,2,0,254,12,12,73,95,62,85,65,85,2,0
384,384,427,427,2,12,12,70,70,70,70,70,70,3,0,427,2,7,105,180,100,180,100,115,3,1
161,161,781,161,1,2,12,61,84,65,70,70,70,1,0,781,8,9,49,66,70,44,55,51,6,0
496,496,420,496,1,12,12,135,85,40,40,85,5,4,0,420,2,15,80,90,80,130,110,110,3,1
268,268,159,159,2,15,1,100,134,110,95,100,61,2,0,159,6,7,90,100,90,125,85,90,1,1
473,473,593,473,1,8,7,90,50,34,60,44,70,4,0,593,5,12,75,80,55,25,35,35,5,0
550,550,475,550,1,1,12,70,90,90,135,90,125,4,1,475,12,12,55,66,44,44,56,85,4,0
199,199,785,785,2,17,4,70,20,50,20,50,40,2,0,785,8,9,65,90,122,58,75,84,6,0
385,385,732,732,2,12,12,60,90,70,60,120,40,3,0,732,6,7,78,81,71,74,69,126,6,0
488,488,196,488,1,14,4,20,25,45,70,90,60,4,0,196,3,12,90,75,85,115,90,55,2,0
30,30,587,30,1,13,12,60,85,69,65,79,80,1,0,587,14,7,55,45,43,55,43,72,5,0
36,36,494,494,2,13,12,70,62,67,55,55,56,1,0,494,2,10,108,130,95,80,85,102,4,0
513,513,184,184,2,1,11,70,120,65,45,85,125,4,0,184,13,7,85,90,80,70,80,130,2,0
129,129,106,129,1,17,12,80,92,65,65,80,68,1,0,106,14,12,85,73,70,73,115,67,1,0
6,6,604,6,1,6,12,58,64,58,80,65,80,1,0,604,0,14,30,45,59,30,39,57,5,0
137,137,315,137,1,0,12,65,125,100,55,70,85,1,0,315,0,10,31,45,90,30,30,40,3,0
83,83,509,509,2,15,10,80,120,130,55,65,45,1,0,509,17,7,45,20,50,60,120,50,4,0
585,585,534,585,1,15,12,70,105,105,50,40,20,5,0,534,3,18,50,65,107,105,107,86,4,0
743,743,57,57,2,5,12,67,82,62,46,48,43,6,0,57,10,12,35,80,50,50,70,120,1,0
220,220,723,723,2,0,12,50,65,90,35,35,15,2,0,723,6,12,59,59,58,90,70,73,6,0
764,764,665,764,1,17,12,71,73,88,120,89,59,6,0,665,3,12,65,85,70,75,70,40,5,0
708,708,439,708,1,2,3,100,150,120,120,100,90,5,1,439,17,12,53,51,53,61,56,40,4,0
28,28,545,545,2,12,7,65,90,65,61,61,100,1,0,545,8,2,150,100,120,100,120,90,4,1
23,23,796,23,1,12,7,83,80,75,70,70,101,1,0,796,15,4,50,100,150,100,150,50,6,1
698,698,147,147,2,0,6,55,85,55,50,55,60,5,0,147,3,12,65,65,60,110,95,130,1,0
306,306,635,635,2,14,4,68,65,65,125,115,80,3,0,635,12,12,75,95,60,65,60,115,5,0
158,158,666,158,1,3,7,90,90,85,125,90,100,1,1,666,3,12,85,115,80,105,80,50,5,0
55,55,750,750,2,0,14,70,65,60,90,75,90,1,0,750,16,8,59,110,150,45,49,35,6,0
513,513,439,513,1,1,11,70,120,65,45,85,125,4,0,439,17,12,53,51,53,61,56,40,4,0
769,769,264,264,2,15,11,77,59,50,67,63,46,6,0,264,6,12,115,115,85,90,75,100,2,1
232,232,499,499,2,0,5,80,125,75,40,95,85,2,0,499,5,17,70,145,88,140,70,112,4,0
23,23,623,23,1,12,7,83,80,75,70,70,101,1,0,623,14,7,72,58,80,103,80,97,5,0
97,97,250,250,2,13,12,105,105,75,65,100,50,1,0,250,17,2,75,95,95,95,95,85,2,0
324,324,544,544,2,15,12,30,45,135,45,90,30,3,0,544,12,12,110,160,110,80,110,100,4,1
517,517,10,517,1,9,12,100,100,125,110,50,50,4,0,10,17,12,44,48,65,50,64,43,1,0
586,586,461,461,2,15,12,85,135,130,60,80,25,5,0,461,0,17,60,69,95,69,95,36,4,0
779,779,349,349,2,8,9,43,70,48,50,60,38,6,0,349,17,1,70,120,40,95,40,95,3,0
669,669,226,226,2,8,6,50,30,55,65,55,20,5,0,226,4,12,60,80,50,40,40,30,2,0
623,623,53,623,1,14,7,72,58,80,103,80,97,5,0,53,0,9,60,95,80,60,80,30,1,0
538,538,718,718,2,14,12,75,75,130,75,130,95,4,1,718,0,17,71,120,95,120,95,99,5,0
438,438,242,438,1,6,5,76,104,71,104,71,108,4,0,242,17,12,35,65,35,65,35,65,2,0
523,523,759,523,1,11,12,65,60,110,130,95,65,4,0,759,15,18,42,52,67,39,56,50,6,0
14,14,103,103,2,0,12,45,30,35,20,20,45,1,0,103,8,14,60,65,80,170,95,130,1,0
378,378,152,152,2,15,9,66,41,77,61,87,23,3,0,152,15,18,30,80,90,55,45,55,1,0
478,478,361,478,1,8,12,60,60,60,105,105,105,4,0,361,10,2,50,70,50,50,50,70,3,0
137,137,698,137,1,0,12,65,125,100,55,70,85,1,0,698,0,6,55,85,55,50,55,60,5,0
354,354,739,739,2,6,10,70,100,70,105,75,40,3,0,739,4,12,54,45,47,75,98,52,6,0
233,233,684,684,2,0,5,80,185,115,40,105,75,2,0,684,10,8,59,74,50,35,50,35,5,0
291,291,605,291,1,0,7,60,70,50,100,50,65,3,0,605,0,14,40,55,99,40,79,47,5,0
96,96,264,264,2,13,12,80,80,50,40,50,25,1,0,264,6,12,115,115,85,90,75,100,2,1
730,730,137,137,2,12,7,45,50,43,40,38,62,6,0,137,0,12,65,125,100,55,70,85,1,0
129,129,744,129,1,17,12,80,92,65,65,80,68,1,0,744,5,1,95,124,78,69,71,58,6,0
611,611,107,611,1,17,12,70,92,65,80,55,98,5,0,107,17,12,30,105,90,25,25,50,1,0
58,58,560,560,2,12,12,40,45,35,40,40,90,1,0,560,6,5,110,123,65,100,65,65,5,0
658,658,146,658,1,0,3,70,77,60,97,60,108,5,0,146,17,12,130,65,60,110,95,65,1,0
625,625,753,625,1,8,12,58,50,145,95,105,30,5,0,753,4,12,78,52,60,63,65,23,6,0
524,524,27,524,1,10,7,75,95,125,45,75,95,4,0,27,12,7,40,60,30,31,31,70,1,0
794,794,474,794,1,1,7,126,131,95,131,98,99,6,1,474,8,7,150,80,44,90,54,80,4,0
365,365,391,391,2,12,7,45,40,60,40,75,50,3,0,391,9,7,99,68,83,72,87,51,3,0
592,592,585,592,1,12,4,103,60,126,80,126,50,5,0,585,15,12,70,105,105,50,40,20,5,0
512,512,586,512,1,9,11,90,132,105,132,105,30,4,0,586,15,12,85,135,130,60,80,25,5,0
526,526,424,424,2,12,12,85,80,70,135,75,90,4,0,424,10,12,100,150,140,100,90,90,3,1
70,70,456,70,1,14,12,40,35,30,120,70,105,1,0,456,15,17,30,42,118,42,88,30,4,0
540,540,288,540,1,14,12,75,125,70,125,70,115,4,1,288,12,12,78,70,61,50,61,100,3,0
347,347,389,347,1,13,12,100,73,83,73,83,55,3,0,389,8,12,20,40,90,30,90,25,3,0
689,689,128,128,2,12,7,70,83,50,37,50,60,5,0,128,17,12,45,67,60,35,50,63,1,0
211,211,701,701,2,17,10,95,85,85,65,65,35,2,0,701,15,5,91,129,90,72,90,108,5,1
336,336,385,336,1,5,15,60,60,75,60,75,80,3,0,385,12,12,60,90,70,60,120,40,3,0
594,594,80,80,2,5,12,85,105,85,40,50,40,5,0,80,17,14,80,70,65,80,120,100,1,0
785,785,490,490,2,8,9,65,90,122,58,75,84,6,0,490,12,7,76,65,45,92,42,91,4,0
425,425,308,425,1,10,6,100,180,160,150,90,90,3,1,308,0,18,40,30,32,50,52,65,3,0
27,27,731,731,2,12,7,40,60,30,31,31,70,1,0,731,6,7,62,73,55,56,52,84,6,0
459,459,399,459,1,0,9,60,59,85,79,105,36,4,0,399,11,18,70,40,50,55,50,25,3,0
421,421,494,421,1,2,15,80,130,100,160,120,110,3,1,494,2,10,108,130,95,80,85,102,4,0
578,578,768,768,2,14,12,116,55,85,107,95,29,5,0,768,15,2,82,121,119,69,59,71,6,0
63,63,82,63,1,5,12,65,105,60,60,70,95,1,0,82,15,10,55,95,115,45,45,35,1,0
257,257,221,257,1,5,12,50,95,95,35,110,70,2,0,221,0,17,75,90,140,60,60,40,2,0
4,4,150,4,1,9,14,80,100,123,122,120,80,1,0,150,15,18,35,40,100,90,55,35,1,0
546,546,333,546,1,8,2,150,120,100,120,100,90,4,1,333,16,16,70,110,180,60,60,50,3,0
308,308,544,544,2,0,18,40,30,32,50,52,65,3,0,544,12,12,110,160,110,80,110,100,4,1
213,213,442,213,1,1,12,95,65,110,60,130,65,2,0,442,12,7,40,55,30,30,30,60,4,0
575,575,302,302,2,17,12,50,53,48,53,48,64,5,0,302,17,7,40,30,30,55,30,85,3,0
209,209,645,209,1,0,7,65,65,45,75,45,95,2,0,645,11,12,51,65,65,80,75,59,5,0
92,92,768,92,1,12,7,35,85,45,35,35,75,1,0,768,15,2,82,121,119,69,59,71,6,0
116,116,672,116,1,5,12,50,105,79,35,110,76,1,0,672,2,12,46,87,60,30,40,57,5,0
132,132,69,69,2,14,4,40,45,65,100,120,90,1,0,69,14,12,25,20,15,105,55,90,1,0
568,568,396,568,1,12,12,85,110,90,45,90,80,5,0,396,11,12,50,50,50,50,50,50,3,0
644,644,218,644,1,11,12,36,50,50,65,60,44,5,0,218,14,12,190,33,58,33,58,33,2,0
321,321,163,163,2,5,12,72,60,30,20,30,25,3,0,163,14,12,106,110,90,154,90,130,1,1
17,17,164,164,2,0,14,40,35,30,20,20,50,1,0,164,14,5,106,190,100,154,100,130,1,1
715,715,190,715,1,17,5,91,72,90,129,90,108,5,0,190,4,12,35,20,65,40,65,20,2,0
