,Winner_mark,HP_diff,Attack_diff,Defense_diff,Sp. Atk_diff,Sp. Def_diff,Speed_diff,Generation_first_1,Generation_first_2,Generation_first_3,Generation_first_4,Generation_first_5,Generation_first_6,Generation_second_1,Generation_second_2,Generation_second_3,Generation_second_4,Generation_second_5,Generation_second_6,Legendary_first_0,Legendary_first_1,Legendary_second_0,Legendary_second_1
63,1,-21,-2,12,-30,-6,27,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
64,1,-32,20,-15,-25,-15,16,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
65,1,7,-27,-31,38,35,53,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
66,1,50,100,55,75,30,45,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
67,1,-15,-30,5,-5,-30,15,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
68,2,-11,-47,10,11,10,-28,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
69,2,-9,-70,-16,15,-73,-21,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
70,2,-58,-74,152,-99,145,-95,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
71,1,-9,-16,-23,54,19,70,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
72,2,-26,-10,16,-86,11,-80,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
73,2,-11,13,-45,13,-45,-7,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
74,1,44,68,23,35,15,10,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
75,1,-90,30,34,5,34,10,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
76,2,-50,-15,-10,-25,-35,-40,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
77,1,-5,25,-53,3,-50,35,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
78,1,-54,-26,12,-1,12,37,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
79,2,25,45,10,-50,-30,-10,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
80,2,0,-50,-13,-65,-3,-85,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
81,2,0,-17,15,1,-5,-22,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
82,2,20,7,12,48,8,-10,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
83,2,-5,-35,-57,-40,-57,-41,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
84,2,-50,-52,-32,-35,-15,-21,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
85,2,8,-21,-67,-5,-50,60,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
86,2,-25,-27,-35,-78,-10,-5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
87,2,-30,-78,-13,-38,57,-51,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
88,1,105,20,-35,55,-35,45,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
89,2,-3,-41,16,24,36,-32,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
90,2,-50,20,-40,-20,-90,-5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
91,2,-16,-50,-10,-18,2,-5,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
92,2,-8,-11,44,56,21,-66,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
93,1,8,30,12,33,24,25,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
94,2,-65,-35,-15,0,-60,-50,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
95,2,-47,-71,-46,-14,-46,-47,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
96,2,-25,15,25,-30,-55,-45,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
97,2,-31,-45,-36,-12,-36,-31,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
98,1,-10,25,-25,25,-40,15,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
99,1,-5,10,20,57,40,83,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
100,1,-20,-23,10,-23,-20,16,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
101,2,-12,-14,8,-14,11,-55,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
102,1,5,-53,5,12,5,55,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
103,2,-37,-44,-33,-27,-31,-24,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
104,2,-15,-50,-55,-25,-15,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
105,1,50,65,-4,-35,11,70,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
106,1,-35,-50,-25,25,-55,40,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
107,1,-30,-45,-10,15,-5,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
108,1,-21,12,-17,-35,-10,10,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
109,2,-24,-29,-5,36,33,-1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
110,1,10,-14,-40,11,-35,9,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
111,1,-17,-20,-25,5,-35,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
112,2,30,10,30,-10,-5,-50,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
113,1,25,65,10,30,40,65,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
114,1,21,35,60,95,40,19,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
115,1,65,45,-11,5,55,26,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
116,2,10,-65,-3,5,-55,-42,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
117,2,5,-43,12,-9,17,-47,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
118,2,14,-5,155,5,15,-130,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
119,2,-20,10,0,-60,-20,-30,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
120,1,15,23,-12,20,0,19,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
121,1,30,40,75,-15,-50,-70,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
122,1,-10,10,15,75,10,60,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
123,1,10,20,45,-65,-30,5,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
124,1,-30,30,0,-55,0,11,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
125,1,-56,0,20,-10,15,11,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
126,2,-35,20,-35,-35,-35,-70,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
127,2,-10,-60,20,30,-10,-40,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
128,1,25,10,-15,70,50,20,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
129,1,-32,-29,3,10,10,25,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
130,1,6,0,23,3,-5,5,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
131,1,3,44,23,60,20,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
132,2,-25,-20,-10,-10,-20,-70,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
133,2,-15,-7,-63,-57,-73,40,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
134,1,5,45,50,35,45,10,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
135,2,-36,-30,-20,-5,-79,-50,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
136,1,25,30,10,15,0,55,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
137,2,17,-5,13,8,9,-3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
138,2,12,80,20,-20,-50,-22,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
139,1,10,35,72,55,37,31,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
140,2,33,-7,25,-17,25,-64,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
141,1,10,74,55,39,10,7,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
142,2,-45,0,-20,-28,0,50,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
143,2,-5,-35,-70,-45,-15,-15,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
144,1,-20,15,-14,52,-35,29,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
145,1,77,0,72,25,70,47,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
146,2,-75,25,-70,-35,-80,-10,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
147,2,-23,-10,-5,-125,-105,-50,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
148,1,-30,22,50,-5,15,25,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
149,1,-32,-69,-45,30,15,19,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
150,1,5,20,50,85,0,-35,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
151,2,0,-35,-5,-50,-25,-65,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
152,2,3,4,18,44,-5,-2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
153,2,0,-5,-20,10,0,-70,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
154,1,5,43,47,78,77,57,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
155,1,-5,40,5,40,-10,10,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
156,2,-15,-47,-13,-12,22,-3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
157,2,-11,-41,35,-119,-35,-84,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
158,2,0,0,20,50,45,5,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
159,2,-26,-98,-35,-93,-65,-70,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
160,1,21,4,-30,16,-15,9,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
161,1,45,20,-22,55,40,25,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
162,1,44,15,30,15,50,-110,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
163,2,0,-30,20,20,120,-30,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
164,1,-27,3,-23,-34,-29,29,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
165,2,-10,-50,-20,35,-10,-30,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
166,1,20,36,-30,-9,-20,94,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
167,2,-10,-40,-61,-42,-38,-20,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
168,2,20,20,36,40,26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
169,1,100,36,70,55,70,49,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
170,2,30,35,10,-50,10,-75,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
171,2,7,30,13,-45,30,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
172,2,-35,-110,-30,-110,-30,-45,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
173,1,12,18,-5,26,15,19,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
174,1,55,-5,-40,-90,-25,-105,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
175,2,10,34,20,-30,15,-29,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
176,1,15,-30,-21,35,9,35,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
177,1,15,24,46,91,34,40,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
178,2,5,-70,-72,-38,-25,-44,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
179,2,-18,9,-1,-14,51,-86,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
180,1,-70,-50,-40,-45,0,5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
181,1,5,40,26,10,36,8,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
182,2,-38,-68,-28,-25,-30,-46,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
183,2,-15,30,-15,-25,5,-5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
184,1,-5,19,-5,-8,-35,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
185,1,28,19,-1,50,26,23,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
186,1,34,80,10,25,40,45,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
187,2,35,100,80,-5,-55,-5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
188,1,20,40,-2,-55,-67,-66,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
189,2,32,2,12,-4,-22,-77,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
190,2,-9,6,32,-55,-35,-58,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
191,1,6,-12,18,45,19,19,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
192,1,47,99,67,59,44,50,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
193,2,-85,-10,-55,-39,-59,10,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
194,1,33,-20,-75,-30,-80,51,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
195,2,-10,20,-5,-60,-40,-70,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
196,2,-7,-30,5,60,55,-35,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
197,1,5,-25,5,20,10,50,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
198,2,11,-45,-90,45,26,55,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
199,1,17,69,12,-16,29,85,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
200,2,-38,-56,-35,-23,-12,-54,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
201,2,10,-20,-13,-100,25,-27,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
202,1,11,22,-5,-33,-10,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
203,2,30,10,-20,-30,5,-35,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
204,2,-80,-115,25,-35,-20,-70,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
205,1,56,52,60,60,-14,7,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
206,2,25,66,35,-9,-15,-11,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
207,2,-27,-50,8,-45,20,-57,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
208,2,-10,-50,5,25,15,-10,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
209,1,12,-37,0,43,0,67,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
210,2,4,-45,35,-45,35,-4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
211,1,41,39,36,39,36,43,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
212,1,23,8,43,91,39,15,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
213,2,-15,-35,-45,-150,-75,-85,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
214,2,36,-39,-13,6,42,-32,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
215,1,10,-10,10,55,55,35,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
216,1,10,40,45,5,15,25,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
217,2,16,55,23,30,-23,-12,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
218,2,21,111,65,5,55,40,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
219,1,20,15,-49,60,-29,18,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
220,2,-35,-35,-35,-50,-25,-75,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
221,2,-20,-75,-57,-15,-32,-23,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
222,1,-15,-32,-13,-4,9,10,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
223,1,40,-13,-25,55,30,48,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
224,2,-70,-78,-30,-60,-25,25,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
225,1,-60,12,0,-13,-35,43,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
226,1,-20,-2,85,32,40,7,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
227,1,35,35,95,14,44,25,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
228,1,-24,51,51,41,44,19,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
229,2,-54,-28,-23,-32,-12,-1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
230,1,33,-45,21,30,86,30,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
231,1,5,-3,-25,72,25,5,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
232,2,-15,-70,-70,35,-15,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
233,1,10,-7,-88,78,-18,75,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
234,1,-3,55,9,75,9,15,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
235,1,80,33,-7,43,-7,30,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
236,2,25,16,-10,2,0,-3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
237,2,4,-44,-5,-7,-25,-73,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
238,1,0,-30,5,0,-45,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
239,2,5,35,20,-40,-70,-60,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
240,2,-11,25,77,-34,33,-7,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
241,1,60,150,128,100,38,25,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
242,2,-22,-13,-25,-25,-21,-14,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
243,1,-10,19,35,24,55,11,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
244,1,-28,0,5,80,35,8,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
245,2,34,-66,-34,38,36,-42,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
246,1,10,10,-55,15,25,60,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
247,1,-25,5,-45,-25,50,30,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
248,1,45,60,23,32,65,45,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
249,1,80,10,-80,60,40,40,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
250,2,-70,-130,-78,-30,-58,-35,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
251,1,55,10,80,30,100,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
252,2,10,23,18,-2,18,-21,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
253,1,14,0,-20,-5,-30,36,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
254,1,-47,-36,-74,-34,-24,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
255,1,4,18,19,5,70,19,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
256,2,15,25,50,-5,65,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
257,1,35,60,40,-5,40,30,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
258,1,-154,17,-8,32,2,11,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
259,2,-34,-50,-60,-134,-60,-105,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
260,2,-66,-155,-70,-134,-80,-80,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
261,1,56,52,25,89,25,88,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
262,1,40,0,35,60,20,-70,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
263,2,-37,-45,-11,15,-11,-45,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
264,1,-33,-33,-18,-20,-38,15,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
265,2,1,6,33,-51,-21,-69,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
266,1,9,-30,-15,10,15,11,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
