Type 2_first,Type 2_second,Legendary_first,Legendary_second,HP_diff,Attack_diff,Defense_diff,Sp. Atk_diff,Sp. Def_diff,Speed_diff,Winner_mark
10,12,0,0,-17,-20,-25,5,-35,2,1
18,12,0,0,30,10,30,-10,-5,-50,2
12,12,0,0,25,65,10,30,40,65,1
2,18,1,0,21,35,60,95,40,19,1
7,18,0,0,65,45,-11,5,55,26,1
14,12,0,0,10,-65,-3,5,-55,-42,2
9,12,0,0,5,-43,12,-9,17,-47,2
10,7,0,0,14,-5,155,5,15,-130,2
5,12,0,0,-20,10,0,-60,-20,-30,2
1,12,0,0,15,23,-12,20,0,19,1
12,4,0,0,30,40,75,-15,-50,-70,1
14,15,0,0,-10,10,15,75,10,60,1
1,14,0,0,10,20,45,-65,-30,5,1
12,10,0,0,-30,30,0,-55,0,11,1
12,4,0,0,-56,0,20,-10,15,11,1
12,12,0,0,-35,20,-35,-35,-35,-70,2
7,7,0,0,-10,-60,20,30,-10,-40,2
14,16,0,0,25,10,-15,70,50,20,1
12,5,0,0,-32,-29,3,10,10,25,1
15,12,0,0,6,0,23,3,-5,5,1
12,12,0,0,3,44,23,60,20,5,1
6,7,0,0,-25,-20,-10,-10,-20,-70,2
7,1,0,0,-15,-7,-63,-57,-73,40,2
0,12,0,0,5,45,50,35,45,10,1
10,7,0,1,-36,-30,-20,-5,-79,-50,2
15,14,0,0,25,30,10,15,0,55,1
13,7,0,0,17,-5,13,8,9,-3,2
12,7,0,0,12,80,20,-20,-50,-22,2
6,14,0,0,10,35,72,55,37,31,1
4,7,0,0,33,-7,25,-17,25,-64,2
12,12,0,0,10,74,55,39,10,7,1
12,12,0,0,-45,0,-20,-28,0,50,2
14,12,0,0,-5,-35,-70,-45,-15,-15,2
7,7,0,0,-20,15,-14,52,-35,29,1
12,9,0,0,77,0,72,25,70,47,1
0,12,0,0,-75,25,-70,-35,-80,-10,2
12,4,0,0,-23,-10,-5,-125,-105,-50,2
18,5,0,0,-30,22,50,-5,15,25,1
4,1,0,0,-32,-69,-45,30,15,19,1
17,12,0,0,5,20,50,85,0,-35,1
14,12,0,0,0,-35,-5,-50,-25,-65,2
12,12,0,0,3,4,18,44,-5,-2,2
7,12,0,0,0,-5,-20,10,0,-70,2
9,12,0,0,5,43,47,78,77,57,1
5,12,0,0,-5,40,5,40,-10,10,1
12,7,0,0,-15,-47,-13,-12,22,-3,2
10,12,0,1,-11,-41,35,-119,-35,-84,2
12,7,0,0,0,0,20,50,45,5,2
12,17,0,0,-26,-98,-35,-93,-65,-70,2
1,9,0,0,21,4,-30,16,-15,9,1
12,12,0,0,45,20,-22,55,40,25,1
12,7,0,0,44,15,30,15,50,-110,1
12,12,1,0,0,-30,20,20,120,-30,2
1,18,0,0,-27,3,-23,-34,-29,29,1
12,7,0,0,-10,-50,-20,35,-10,-30,2
7,17,0,0,20,36,-30,-9,-20,94,1
7,14,0,0,-10,-40,-61,-42,-38,-20,2
12,12,1,0,20,20,36,40,26,0,2
2,10,1,0,100,36,70,55,70,49,1
10,12,0,0,30,35,10,-50,10,-75,2
5,12,0,0,7,30,13,-45,30,0,2
12,7,0,1,-35,-110,-30,-110,-30,-45,2
12,9,0,0,12,18,-5,26,15,19,1
12,15,0,1,55,-5,-40,-90,-25,-105,1
1,7,0,1,10,34,20,-30,15,-29,2
7,12,0,0,15,-30,-21,35,9,35,1
12,12,1,0,15,24,46,91,34,40,1
4,9,0,0,5,-70,-72,-38,-25,-44,2
12,7,0,0,-18,9,-1,-14,51,-86,2
4,12,0,0,-70,-50,-40,-45,0,5,1
12,7,0,0,5,40,26,10,36,8,1
12,10,0,0,-38,-68,-28,-25,-30,-46,2
11,7,0,0,-15,30,-15,-25,5,-5,2
12,12,0,0,-5,19,-5,-8,-35,1,1
12,14,0,0,28,19,-1,50,26,23,1
12,10,0,0,34,80,10,25,40,45,1
10,7,0,0,35,100,80,-5,-55,-5,2
12,18,0,0,20,40,-2,-55,-67,-66,1
12,12,0,0,32,2,12,-4,-22,-77,2
12,12,0,0,-9,6,32,-55,-35,-58,2
12,12,0,0,6,-12,18,45,19,19,1
3,12,1,0,47,99,67,59,44,50,1
7,2,0,1,-85,-10,-55,-39,-59,10,2
7,4,0,1,33,-20,-75,-30,-80,51,1
6,12,0,0,-10,20,-5,-60,-40,-70,2
4,12,0,0,-7,-30,5,60,55,-35,2
7,12,1,0,5,-25,5,20,10,50,1
14,8,0,0,11,-45,-90,45,26,55,2
11,12,0,0,17,69,12,-16,29,85,1
11,12,0,1,-38,-56,-35,-23,-12,-54,2
5,17,0,0,10,-20,-13,-100,25,-27,2
7,7,0,0,11,22,-5,-33,-10,4,1
12,2,0,0,30,10,-20,-30,5,-35,2
12,12,0,1,-80,-115,25,-35,-20,-70,2
12,12,0,0,56,52,60,60,-14,7,1
12,17,0,0,25,66,35,-9,-15,-11,2
9,1,0,0,-27,-50,8,-45,20,-57,2
6,12,0,0,-10,-50,5,25,15,-10,2
7,9,0,0,12,-37,0,43,0,67,1
12,17,1,0,4,-45,35,-45,35,-4,2
5,12,0,0,41,39,36,39,36,43,1
12,18,0,0,23,8,43,91,39,15,1
12,14,0,0,-15,-35,-45,-150,-75,-85,2
9,18,0,0,36,-39,-13,6,42,-32,2
12,2,0,0,10,-10,10,55,55,35,1
12,6,0,0,10,40,45,5,15,25,1
10,12,0,0,16,55,23,30,-23,-12,2
5,8,0,0,21,111,65,5,55,40,2
7,14,0,0,20,15,-49,60,-29,18,1
12,12,0,1,-35,-35,-35,-50,-25,-75,2
7,12,0,0,-20,-75,-57,-15,-32,-23,2
12,1,0,0,-15,-32,-13,-4,9,10,1
12,12,0,0,40,-13,-25,55,30,48,1
12,5,0,0,-70,-78,-30,-60,-25,25,2
3,12,0,0,-60,12,0,-13,-35,43,1
12,12,0,0,-20,-2,85,32,40,7,1
7,7,0,0,35,35,95,14,44,25,1
7,7,1,0,-24,51,51,41,44,19,1
7,7,0,0,-54,-28,-23,-32,-12,-1,2
4,12,0,0,33,-45,21,30,86,30,1
11,12,0,0,5,-3,-25,72,25,5,1
12,12,0,1,-15,-70,-70,35,-15,0,2
12,17,0,0,10,-7,-88,78,-18,75,1
12,12,1,0,-3,55,9,75,9,15,1
12,12,0,0,80,33,-7,43,-7,30,1
7,12,0,0,25,16,-10,2,0,-3,2
10,5,0,1,4,-44,-5,-7,-25,-73,2
15,12,0,0,0,-30,5,0,-45,40,1
12,14,0,0,5,35,20,-40,-70,-60,2
9,7,0,0,-11,25,77,-34,33,-7,2
6,18,1,0,60,150,128,100,38,25,1
7,7,0,0,-22,-13,-25,-25,-21,-14,2
9,18,0,0,-10,19,35,24,55,11,1
15,10,1,0,-28,0,5,80,35,8,1
12,2,0,0,34,-66,-34,38,36,-42,2
12,10,0,0,10,10,-55,15,25,60,1
12,17,0,0,-25,5,-45,-25,50,30,1
14,18,0,0,45,60,23,32,65,45,1
2,16,1,0,80,10,-80,60,40,40,1
18,12,0,1,-70,-130,-78,-30,-58,-35,2
12,7,0,0,55,10,80,30,100,5,1
12,7,0,0,10,23,18,-2,18,-21,2
7,12,0,0,14,0,-20,-5,-30,36,1
7,2,0,0,-47,-36,-74,-34,-24,4,1
12,12,0,0,4,18,19,5,70,19,1
4,12,0,0,15,25,50,-5,65,0,2
12,12,0,0,35,60,40,-5,40,30,1
12,12,0,0,-154,17,-8,32,2,11,1
12,12,0,1,-34,-50,-60,-134,-60,-105,2
14,5,0,1,-66,-155,-70,-134,-80,-80,2
5,12,0,0,56,52,25,89,25,88,1
14,12,0,0,40,0,35,60,20,-70,1
12,12,0,0,-37,-45,-11,15,-11,-45,2
7,12,0,0,-33,-33,-18,-20,-38,15,1
12,12,0,0,1,6,33,-51,-21,-69,2
15,17,1,0,9,-30,-15,10,15,11,1
10,17,0,0,10,-25,42,-85,-5,-67,2
12,7,0,1,-5,-20,-20,10,-10,0,2
12,12,0,0,40,65,28,0,65,-8,2
12,12,0,0,35,15,15,35,45,35,1
14,8,0,0,10,5,-27,-55,-22,-46,2
18,8,0,1,-30,-45,47,-45,-23,16,1
2,7,0,0,-18,71,69,-7,-37,1,1
12,15,0,0,-10,-24,-17,-69,-30,-59,2
10,5,1,0,44,22,69,3,43,14,1
12,12,0,1,30,-15,-10,-40,-35,-90,2
4,12,0,0,-52,-25,-25,25,15,10,1
1,12,0,0,55,119,115,75,90,51,1
12,12,0,0,37,45,15,-2,10,0,2
12,15,0,1,-15,10,-10,-55,-10,-20,2
12,12,0,0,12,5,14,-5,-16,-45,2
2,12,0,0,27,40,50,70,98,9,1
12,14,0,0,18,37,18,-28,13,-32,2
12,15,0,0,-20,0,-35,25,15,10,1
12,14,1,0,61,100,15,119,55,110,1
12,12,0,0,-30,-10,50,-10,-90,0,2
12,7,0,0,15,-25,40,-20,-5,-30,2
10,12,0,0,10,85,180,-70,35,0,2
12,14,0,0,20,15,0,-115,-40,-40,2
12,5,0,0,2,-33,5,-13,50,-18,2
14,1,0,0,-35,-47,-15,60,35,-2,2
12,7,0,0,-45,25,20,-40,-50,-40,2
12,17,0,0,-70,-90,-20,12,-5,-28,2
5,12,0,1,40,23,-105,0,-105,-35,2
7,1,0,0,23,30,12,-43,29,-41,2
7,10,0,0,26,15,5,62,12,41,1
7,12,0,0,6,-10,-35,-43,-38,-44,2
10,12,0,0,65,11,13,41,21,-3,2
14,7,0,0,35,32,40,60,62,18,1
0,7,0,0,-12,-15,35,-28,-7,5,1
5,10,0,0,56,27,-70,99,45,38,1
9,2,0,0,15,-10,47,-87,-10,-91,2
9,7,0,0,0,14,35,-11,25,-34,2
12,11,1,0,-80,10,10,10,-5,120,1
15,14,0,0,15,7,9,34,20,44,1
9,6,0,0,30,35,-37,-45,-37,9,1
2,12,0,0,15,70,60,25,15,25,1
7,12,0,0,27,84,32,9,39,110,1
12,14,0,0,-28,-125,1,10,-39,-120,2
7,15,0,0,5,-25,5,15,40,10,1
15,11,0,0,-63,23,13,-19,-7,42,1
12,13,0,0,36,7,32,29,67,10,1
12,12,0,0,15,30,25,10,20,-90,1
18,18,0,0,-42,-25,-25,1,-41,-13,2
5,12,1,0,30,165,55,87,45,106,1
12,12,0,0,-6,-15,-5,-51,-32,-21,2
5,12,0,0,11,34,11,39,6,-7,2
1,7,0,0,40,42,30,25,30,12,1
12,12,0,0,0,4,-10,-63,-10,-57,2
5,15,0,1,-32,-69,-60,-99,-80,-60,2
12,7,0,0,0,0,27,-25,27,-14,2
7,12,1,0,15,-5,25,60,30,-15,2
12,7,0,0,4,30,-5,28,-2,-11,2
12,12,0,0,10,11,-5,-54,-25,-2,2
1,12,0,0,6,54,-28,14,-36,45,1
7,9,0,0,35,95,80,60,20,70,1
10,12,0,0,39,70,93,5,28,-21,2
6,15,0,0,35,35,10,105,30,85,1
12,12,0,0,5,30,14,-26,-2,13,1
11,12,0,0,48,-21,9,1,29,-43,2
14,7,0,0,-15,30,51,50,46,-20,2
14,12,0,0,-45,-43,-35,-23,-45,-12,2
12,11,1,0,-7,31,40,68,27,79,1
10,12,0,0,32,65,12,-42,-94,5,1
7,2,0,0,5,5,12,-17,-21,-4,2
12,8,0,1,-15,-45,0,-40,-35,60,2
12,4,0,0,-40,53,43,53,38,81,1
12,12,0,0,-25,-15,-11,-12,-20,14,1
7,7,0,0,0,-15,5,34,9,-5,2
6,12,0,0,-14,15,-10,45,10,34,1
11,5,0,0,10,-68,-5,-38,5,-40,2
10,12,0,0,22,33,30,-6,-15,-44,2
7,12,1,0,66,71,35,71,38,39,1
12,15,0,0,4,-17,-3,47,15,-18,2
12,7,0,0,-19,-97,-82,-63,-28,-86,2
12,5,0,1,-26,-95,-18,-94,-18,-55,2
12,12,0,0,-15,3,-105,51,33,42,1
10,7,0,0,55,30,55,35,35,-25,2
4,12,0,0,22,-2,25,31,35,25,1
12,12,0,0,-10,34,45,29,10,-63,2
18,15,0,0,30,-55,-40,0,0,-5,2
14,12,0,0,-15,25,35,-45,-5,-60,2
12,12,0,0,-12,-23,-25,-52,-25,-32,2
12,12,0,0,41,-34,0,52,30,-7,2
10,10,0,0,-26,-57,-32,-60,-50,-70,2
12,15,0,0,-54,-20,-37,-88,-88,-40,2
14,12,0,0,5,-4,5,-4,-20,-1,2
12,12,1,0,-48,-25,68,-22,49,27,1
5,16,1,0,17,-18,-61,7,64,76,1
12,15,0,0,-5,29,5,39,-5,2,1
12,12,0,0,35,5,68,10,-35,-43,2
12,17,0,0,35,10,0,-50,35,50,1
5,0,0,0,43,56,-25,56,10,20,1
9,12,0,0,9,3,20,-25,0,-2,2
9,12,0,0,10,-26,30,14,40,-54,2
12,10,0,0,-30,-50,0,10,20,0,2
6,7,1,0,14,44,14,34,64,-5,2
12,12,0,0,5,-50,0,-15,-25,-25,2
12,12,0,0,-70,-76,-80,-36,-36,10,1
14,7,0,0,-25,-20,-100,0,-30,-40,2
12,12,0,0,-24,10,-27,2,-18,22,1
12,12,0,1,-15,-10,-116,-30,-106,-35,2
12,12,0,0,-19,-37,2,-50,-18,-63,2
7,5,0,0,0,-71,-49,21,-51,-40,2
10,10,0,0,-32,-22,-42,-35,-40,-34,2
6,12,1,0,62,139,120,100,25,25,1
12,10,0,0,-70,-120,-80,-65,-80,-40,2
8,11,0,0,-45,-52,-5,-97,-68,-2,2
12,18,1,0,20,-10,0,40,35,0,2
18,7,0,1,-60,-20,0,-70,-40,-35,2
12,14,0,0,-1,13,-11,36,54,7,1
14,7,0,0,-10,5,-10,4,10,-13,2
12,7,0,0,-15,-10,-15,50,25,5,1
12,11,0,1,-75,-55,-26,-126,-52,-52,2
4,4,0,0,-50,5,-5,50,40,20,1
12,12,0,0,3,20,18,-30,18,2,1
14,16,0,0,10,-3,-22,45,45,5,1
7,12,0,0,25,32,15,70,5,14,1
12,18,0,1,-40,-75,-90,-10,-20,35,1
16,12,0,0,15,20,30,-20,-20,-65,2
12,12,0,0,-26,-22,-36,-49,4,-48,2
5,12,0,0,10,15,15,-10,10,-10,2
12,5,1,0,-16,53,-20,-4,-20,7,1
7,2,0,0,-5,-5,-25,-95,-30,85,1
12,12,0,0,36,-20,10,27,15,-66,2
8,12,0,0,24,50,106,5,-5,-20,2
7,12,0,0,34,28,33,-53,27,21,1
10,13,0,0,9,17,13,-44,-1,-71,1
7,17,0,0,12,-15,-62,46,2,-43,2
15,12,0,0,-5,35,25,-30,-10,-30,2
9,12,0,0,24,9,35,14,45,-8,2
12,14,0,0,1,35,0,-40,-10,35,1
9,7,0,0,15,65,92,18,-5,44,1
6,12,0,0,-40,-45,-55,40,0,25,2
7,12,0,0,-11,-13,12,49,49,29,1
10,12,0,0,0,-79,-53,-10,-3,53,2
5,14,0,0,11,2,25,49,-30,8,1
16,12,0,0,37,75,62,-57,-99,-35,1
12,10,0,0,-46,-64,-12,11,16,-30,2
12,7,0,0,-30,-65,-50,-61,-27,-62,2
12,12,0,1,-45,-100,-100,-60,-50,-15,2
12,4,0,1,40,-40,10,-100,-50,-60,2
8,9,0,0,-39,60,15,-10,-20,10,1
7,12,0,0,-65,-87,-142,-14,-4,42,2
11,7,0,0,45,-7,-6,-10,7,-42,2
12,9,0,0,6,-16,0,36,25,94,1
12,12,0,0,-3,65,-30,-57,-48,-27,2
16,7,0,0,-7,-18,30,9,33,-49,1
12,12,0,0,60,90,30,0,30,35,1
7,7,1,0,66,85,50,75,119,34,1
12,12,0,0,-11,-31,-46,29,44,14,1
12,7,0,0,0,1,-21,19,31,20,1
12,10,0,0,-25,-12,-27,13,-27,41,1
5,12,0,1,-50,-25,-30,-65,-30,-52,2
12,15,0,0,-46,29,-47,-50,-35,18,1
14,12,0,0,-35,-21,9,-35,5,-100,2
12,15,0,0,45,65,10,-45,-20,-70,1
12,12,0,0,-15,-7,4,-60,-5,-74,2
6,14,0,0,5,30,-5,30,-20,10,1
14,7,0,1,-24,-35,-50,-70,0,-26,2
7,5,0,0,35,60,70,35,30,65,1
14,1,0,0,-35,-90,-29,100,-35,49,1
10,15,0,0,30,-8,2,-5,0,-24,2
14,12,0,0,25,10,21,85,51,35,1
12,12,0,0,20,30,-45,-5,-15,0,2
12,15,0,0,-52,5,-45,-50,-45,5,1
12,9,0,0,-4,-16,-30,-4,-15,34,2
12,12,0,0,-50,-32,-134,11,4,37,1
7,13,0,0,11,-3,17,-6,67,15,1
12,17,0,0,-15,-35,15,-90,-45,-75,2
12,17,0,0,-25,0,70,10,15,-63,2
7,14,0,0,33,32,22,9,4,81,1
12,7,0,0,-15,-35,-65,60,30,10,1
12,14,0,0,-20,-68,20,-18,-50,-46,2
12,1,0,0,10,-40,20,-25,20,10,1
12,12,0,0,3,32,-1,-24,8,11,1
10,10,0,0,15,5,-45,60,30,5,1
12,9,1,0,26,9,80,31,95,4,1
15,12,1,0,15,-10,10,50,30,5,1
12,15,0,0,-25,-15,-5,10,-35,60,1
1,12,0,0,29,76,25,60,15,55,1
12,7,0,0,183,-52,-50,-42,50,-64,2
7,14,1,0,25,10,40,40,40,35,1
12,10,0,0,-25,25,5,35,5,26,1
7,12,0,1,-39,-45,-50,-80,-60,-36,2
12,14,0,0,9,19,6,19,-4,26,1
12,8,0,0,-39,-71,-18,3,-17,-11,2
15,7,1,0,65,65,60,65,45,50,1
7,4,0,0,-25,0,0,40,70,10,1
12,4,0,0,-18,13,-56,-7,-11,17,1
12,12,1,0,5,-60,30,20,30,10,1
12,7,0,0,-15,-40,-10,-25,-15,-55,2
14,12,0,0,-70,-90,-35,-15,55,0,2
7,7,0,0,-5,-5,2,-5,-13,20,1
1,7,0,0,25,-11,-11,-88,-54,-16,2
5,14,1,0,46,40,74,15,7,78,1
5,6,0,0,14,13,-55,-27,-55,-5,2
12,15,0,0,13,56,-36,11,-51,12,1
16,12,0,0,-76,-52,33,-12,0,-68,2
12,3,0,0,10,13,10,28,35,20,1
12,15,0,0,-75,10,-35,-70,-80,5,1
12,6,0,1,-60,-55,-60,-70,-80,-25,2
7,16,0,0,60,-5,5,15,55,50,1
12,7,0,0,-11,3,18,-15,-2,-2,2
1,7,0,0,0,3,-8,-9,-9,3,1
12,12,0,0,26,33,27,15,20,-25,2
12,15,1,0,15,25,-15,45,-15,15,1
12,1,0,0,-29,-28,-3,-35,-5,-15,2
18,2,0,0,-15,-15,-30,-37,-63,-14,2
17,14,0,0,39,37,39,46,36,15,1
12,12,0,0,10,-36,-15,0,-5,-49,2
5,12,1,0,36,22,65,45,17,77,1
9,9,0,0,-51,-11,-42,-36,-52,-18,2
7,12,1,0,32,26,27,45,25,20,1
11,12,0,0,34,-21,-15,17,28,11,1
12,7,0,0,-45,-54,10,-25,-40,-52,2
12,12,0,0,10,110,25,55,15,0,2
4,12,0,0,2,20,17,103,78,48,1
5,10,0,0,10,95,50,25,70,68,1
12,7,0,0,-18,-15,-20,-5,15,-11,2
11,12,0,0,0,30,116,41,-3,27,1
12,12,0,0,-45,-35,-55,-65,-55,30,1
12,12,0,0,15,35,15,20,10,10,1
7,12,0,0,0,5,10,-30,25,20,1
7,8,0,0,45,85,3,15,3,9,1
9,9,0,0,20,30,20,0,0,45,1
12,12,0,0,-32,-60,-31,-60,-50,-42,2
12,4,0,0,40,25,-65,65,-60,5,1
12,5,1,0,10,-20,20,20,25,15,1
12,8,0,0,0,-25,-61,0,2,14,2
8,6,0,0,-16,20,100,-65,-31,-60,2
1,12,0,0,65,50,19,45,105,31,1
7,12,1,0,50,96,-5,66,25,63,1
12,7,0,0,27,95,10,-25,0,-27,2
4,12,0,0,-25,-78,-23,-78,-23,-81,2
12,12,0,0,190,-55,-55,25,85,-35,2
7,12,1,0,14,56,5,50,15,55,1
7,12,0,0,-25,-45,-30,-5,-30,15,1
5,12,0,0,21,140,75,5,65,44,1
12,10,0,0,-78,-90,-25,-10,-60,-42,2
12,12,0,0,35,-10,5,10,10,-25,2
12,12,0,0,-40,-45,-45,-25,-40,-20,2
16,12,0,0,20,45,45,-45,-55,-70,1
10,12,0,0,25,20,136,11,17,-13,2
2,12,0,0,-13,20,-5,0,-20,-7,2
12,10,0,0,-24,-33,-40,-115,-65,37,1
7,12,0,0,22,40,18,25,15,15,1
12,4,0,0,30,28,-5,43,10,-21,2
5,8,0,0,18,90,20,0,50,60,2
12,10,0,0,15,-15,-5,65,15,65,1
6,15,0,0,-5,25,-20,-10,-20,-20,2
12,7,1,1,21,-15,20,25,60,-21,2
12,12,1,0,-30,15,10,15,10,100,1
7,15,0,0,55,95,25,70,10,45,1
12,12,0,1,-55,-90,-108,-50,-58,-14,2
7,1,0,0,-14,-58,-24,21,-44,34,1
4,3,0,1,-72,-125,-95,-75,-65,-50,2
12,10,0,0,2,20,25,20,75,-2,2
5,12,0,0,70,88,35,-20,-5,-40,1
2,12,1,0,85,40,50,15,45,50,2
5,2,0,0,10,-5,15,-10,10,-30,2
12,7,0,0,-32,6,-11,-44,-29,-69,2
12,12,0,0,-5,35,5,60,20,20,1
12,12,0,0,50,15,35,40,10,-65,2
7,15,0,1,-55,-60,-40,-60,-25,-50,2
12,6,0,1,-15,-75,-75,-110,-40,-50,2
12,17,0,0,11,18,-57,45,-61,19,1
12,12,0,0,19,-4,15,10,10,10,1
15,6,0,0,0,0,20,-35,-15,-15,2
15,12,0,0,26,42,26,29,-14,43,1
12,9,0,0,5,35,50,20,0,-25,2
16,12,0,0,85,35,40,30,30,-10,2
5,13,0,0,3,40,57,-28,61,-14,2
12,12,0,0,20,-2,0,95,45,47,1
8,9,0,0,9,24,10,-5,10,-40,2
12,15,0,1,-37,-60,-25,-90,-45,-13,2
12,7,0,0,38,29,68,31,22,-13,2
6,10,0,0,-45,-20,22,40,42,51,1
15,7,0,0,18,58,68,45,48,5,1
12,12,0,0,35,40,30,-20,10,0,2
10,11,0,1,-65,-41,15,-111,-15,-59,2
12,2,0,0,-18,-45,-62,-70,-36,-40,2
15,12,0,0,-50,-35,-30,-75,-20,0,2
12,11,0,0,-10,-27,5,-37,-35,-25,2
10,3,0,0,-55,27,12,-16,-6,-17,1
